mun_id,mun_en,cases,Latitude_mun,Longitude_mun
44003,Kushma Municipality,103,83.70427517630448,28.231637104462237
45002,Baglung Municipality,2,83.59602774099011,28.24634801815065
45004,Dhorpatan Municipality,298,83.14016954177023,28.394341523466803
45009,Taman Khola Rural Municipality,3,83.22315146578276,28.4368987387185
45010,Tara Khola Rural Municipality,1,83.40177828774152,28.311922830425864
46004,Gulmidarbar Rural Municipality,1,83.30940695214089,28.034672330942445
46010,Resunga Municipality,374,83.25831702064265,28.067792759925105
47002,Mathagadhi Rural Municipality,566,83.65638081088001,27.756703727018355
47006,Rambha Rural Municipality,1,83.69258572722536,27.869106710563265
48001,Bardaghat Municipality,1,83.79579566158955,27.55649857880949
48004,Ramgram Municipality,1,83.64899333567669,27.52687566196347
48005,Sarawal Rural Municipality,143,83.73122834097383,27.50606870012537
48006,Sunwal Municipality,1,83.66561857432018,27.617973394215145
49001,Butwal Submetropolitan City,8,83.4331080182878,27.689111302127447
49003,Gaidahawa Rural Municipality,1,83.27563771116046,27.57994118934622
49011,Sainamaina Municipality,1,83.30568662721225,27.711919496086303
49014,Siyari Rural Municipality,410,83.39602388140969,27.56693704359335
49015,Sudhdhodhan Rural Municipality,22,83.36876858941736,27.62237619568379
49016,Tillotama Municipality,1,83.48636973551233,27.60837197610051
50003,Buddhabhumi Municipality,944,82.99772773893987,27.685727454184875
50006,Maharajgunj Municipality,4,82.93588362430968,27.54401211927176
50008,Shivaraj Municipality,6,82.85250621528891,27.693678497007408
51001,Bhumekasthan Municipality,3,83.0366426152433,27.986625722173578
51006,Sitganga Municipality,396,83.01401634609529,27.8411777471802
52005,Mandavi Rural Municipality,20,82.75933657162325,28.04478838823657
52007,Pyuthan Municipality,378,82.85113015234762,28.125594990749523
53004,Rolpa Municipality,71,82.62619035911098,28.33723576623889
54002,Banfikot Rural Municipality,44,82.50283669965492,28.704116443611763
55006,Kalimati Rural Municipality,3,81.94944383795304,28.291399960611447
55009,Sharada Municipality,242,82.16229156666303,28.381772593994032
56005,Ghorahi Submetropolitan City,695,82.47694378177151,28.023339790452198
56006,Lamahi Municipality,6,82.4167647551008,27.91328921901072
56010,Tulsipur Submetropolitan City,20,82.3064131756808,28.111611462374213
57002,Duduwa Rural Municipality,5,81.70467030779403,28.030638196860767
57005,Kohalpur Municipality,30,81.71918844147186,28.215860962190593
57006,Narainapur Rural Municipality,1,81.86168825182365,27.927947233788128
57007,Nepalgunj Submetropolitan City,31,81.64600785713083,28.060412185364857
57008,Rapti Sonari Rural Municipality,681,81.92309215590663,28.073119402632518
58003,Barbardiya Municipality,10,81.3824230586322,28.32305545570356
58099,Bardiya National Park National Park,259,81.45439335400884,28.45690907769103
59002,Bheriganga Municipality,1,81.69194677922198,28.45761142533329
59003,Birendranagar Municipality,649,81.63452469761843,28.602326178263887
59006,Gurbhakot Municipality,2,81.89185736110541,28.4290247808256
59007,Lekbeshi Municipality,27,81.7515795515729,28.539924714828786
60003,Bhairabi Rural Municipality,25,81.64286521249824,28.95247870968115
60008,Mahabu Rural Municipality,978,81.69338309162248,28.948345263202306
61005,Kuse Rural Municipality,30,82.13684231527463,28.878165059073343
62006,Shey Phoksundo Rural Municipality,5,82.9652710125383,29.382115203985585
63001,Chandannath Municipality,1,82.15224639306525,29.29511454528572
63002,Guthichaur Rural Municipality,81,82.36710242092032,29.19715725565085
63007,Tatopani Rural Municipality,1,82.12025733539197,29.13602317243211
64005,Pachaljharana Rural Municipality,77,81.71988461456014,29.249848517865182
65003,Mugum Karmarong Rural Municipality,12,82.54742032450541,29.649513961809387
66006,Simkot Rural Municipality,5,81.92202617828724,30.12989550783916
67005,Gaumul Rural Municipality,579,81.4493928382104,29.559241892448945
67006,Himali Rural Municipality,3,81.65827073378287,29.75170398267015
68006,Kanda Rural Municipality,1,81.29848812050446,29.86753016377049
68010,Surma Rural Municipality,275,81.1251549881934,29.678363811148138
69003,Dhakari Rural Municipality,1,81.22811321425894,28.975813494728804
69005,Mangalsen Municipality,502,81.22509017209063,29.101692002616954
70001,Adharsha Rural Municipality,5,80.87525062895591,29.344277784287872
70009,Shikhar Municipality,738,80.81920394204319,29.235258490942172
71004,Dhangadhi Submetropolitan City,2,80.6547442950228,28.693149812305652
71005,Gauriganga Municipality,1285,80.78149882461534,28.75305980071857
71006,Ghodaghodi Municipality,4,80.94001677537169,28.705532441021706
71012,Mohanyal Rural Municipality,7,81.04924572024447,28.81708873547946
72099,Shuklaphanta National Park National Park,583,80.24078320523755,28.866867820746602
73002,Alital Rural Municipality,285,80.51081172156894,29.135217630861433
74006,Patan Municipality,259,80.57832986119419,29.445220951481748
74010,Surnaya Rural Municipality,2,80.60550196859549,29.52603229633355
75001,Apihimal Rural Municipality,45,80.90550517451165,29.860613821957692
76001,Binayee Tribeni Rural Municipality,5,83.8424851852697,27.636629948104726
76006,Hupsekot Rural Municipality,335,84.0542455495244,27.717170668563362
76007,Kawasoti Municipality,1,84.12166984330729,27.64177093421407
77002,Putha Uttarganga Rural Municipality,11,82.82145885546105,28.64554697153973
77003,Sisne Rural Municipality,3,82.63797606308438,28.730358241949325
